point_id_old,point_id_new,mass_region,field,old,new,rel_delta
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,lambda1,4.115000764987602,4.115289807868972,7.024127e-05
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,lambda2,0.5243158206272897,0.524604863508659,5.512763e-04
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,lambda3,7.210639391381736,7.210928434263106,4.008561e-05
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,g_hH2H2_GeV,575.327713005657,575.3988813083945,1.237005e-04
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,width_bb_GeV,0.0007766155292098763,0.0007766155292098761,-1.396060e-16
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,width_gg_GeV,0.0001363935153256413,0.0001363935153256404,-6.557986e-15
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,width_gammagamma_GeV,2.3761054916304246e-07,2.3761054916304278e-07,1.336798e-15
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,width_Zgamma_GeV,1.6444733205373776e-08,1.6444733205373402e-08,-2.273589e-14
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,total_width_GeV,0.00102622884376994,0.001026228843769939,-1.056492e-15
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,BR_bb,0.7567664209835617,0.7567664209835624,8.802370e-16
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,BR_cc,0.03388142835615652,0.033881428356156554,1.023997e-15
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,BR_tautau,0.07565357147795732,0.0756535714779574,1.100632e-15
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,BR_gg,0.13290750513753635,0.1329075051375356,-5.638512e-15
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,BR_gammagamma,0.00023153758599315884,0.00023153758599315938,2.341309e-15
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,BR_Zgamma,1.6024430910519558e-05,1.6024430910519213e-05,-2.156641e-14
point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,R150_anchor,ctau_physical_mm,1.9228360379650053e-10,1.9228360379650074e-10,1.075470e-15
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,campaign_id,high_mass_h2_physical_point_scan_v1,high_mass_h2_physical_point_scan_v2_mh12520,
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,m_h_GeV,125.13,125.2,5.594182e-04
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,lambda1,3.046127180248774,3.0464162231301435,9.488865e-05
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,lambda2,0.4575112215811128,0.4578002644624821,6.317722e-04
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,lambda3,6.943420995197029,6.9437100380783985,4.162831e-05
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,g_hH2H2_GeV,443.73838185465115,443.8095501573887,1.603835e-04
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,width_bb_GeV,0.0007766155292098773,0.0007766155292098767,-8.376362e-16
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,width_cc_GeV,3.477009904721259e-05,3.4770099047212564e-05,-7.795507e-16
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,width_tautau_GeV,7.76378771848908e-05,7.76378771848907e-05,-1.221925e-15
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,width_gg_GeV,0.00013639351532564127,0.0001363935153256411,-1.192361e-15
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,width_gammagamma_GeV,2.498570187534405e-07,2.498570187534383e-07,-8.687056e-15
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,width_Zgamma_GeV,1.801327871159441e-08,1.801327871159383e-08,-3.214442e-14
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,total_width_GeV,0.001026242658785038,0.001026242658785037,-8.451819e-16
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,BR_bb,0.7567562335883673,0.7567562335883674,1.467081e-16
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,BR_tautau,0.07565255304900868,0.07565255304900866,-3.668822e-16
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,BR_gg,0.13290571597083742,0.13290571597083736,-4.176732e-16
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,BR_gammagamma,0.00024346777695759072,0.0002434677769575888,-7.904368e-15
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,BR_Zgamma,1.755265049390971e-05,1.7552650493909162e-05,-3.127034e-14
point_f999def9d725cc41,point_178edb211606d46a,R150_anchor,ctau_physical_mm,1.9228101532401133e-10,1.9228101532401148e-10,8.066130e-16
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,campaign_id,high_mass_h2_physical_point_scan_v1,high_mass_h2_physical_point_scan_v2_mh12520,
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,m_h_GeV,125.13,125.2,5.594182e-04
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,lambda1,1.9772535955099453,1.9775426383913144,1.461840e-04
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,lambda2,0.39070662253493593,0.39099566541630526,7.397952e-04
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,lambda3,6.6762025990123215,6.6764916418936915,4.329450e-05
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,g_hH2H2_GeV,312.14905070364557,312.2202190063831,2.279946e-04
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,width_bb_GeV,0.000776615529209877,0.0007766155292098767,-4.188181e-16
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,width_cc_GeV,3.477009904721258e-05,3.4770099047212564e-05,-3.897753e-16
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,width_tautau_GeV,7.763787718489074e-05,7.76378771848907e-05,-5.236823e-16
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,width_gammagamma_GeV,2.624113536433791e-07,2.6241135364338025e-07,4.438338e-15
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,width_Zgamma_GeV,1.9653280267535407e-08,1.965328026753553e-08,6.229125e-15
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,total_width_GeV,0.0010262568531214833,0.0010262568531214829,-4.225851e-16
