m_phi,mA,alpha,beta,lambda6,lambda7,m12,positivty,unitarity,perturbativity,w_h2_bb,w_h2_tautau,w_h2_WW,w_h2_ZZ,w_h2_gaga,w_h2_Zga,w_h2_gg,w_h2_hh,w_total_h2,branching_ratio_h2_gaga
125.0,300.0,0.0055000000000000005,1.55,0.0,-20.0,0.0,0,0,0,0.0,0.0,,,1.524601387606083,0.1458310164291275,0.0,0.0,1.670433060703711,0.9126982837395519
125.0,300.0,0.0055000000000000005,1.55,0.0,-20.0,10.0,0,0,0,0.0,0.0,,,1.524651740785618,0.1458358323251419,0.0,0.0,1.670488229779259,0.9126982840143012
125.0,300.0,0.0055000000000000005,1.55,0.0,-20.0,20.0,0,0,0,0.0,0.0,,,1.524702094797109,0.1458406483008574,0.0,0.0,1.670543399766467,0.9126982842889655
125.0,300.0,0.0055000000000000005,1.55,0.0,0.0,0.0,1,0,0,0.0,0.0,,,3.185613945268308e-07,1.860995356024857e-08,0.0,0.0,9.938398478081655e-07,0.3205359447293168
125.0,300.0,0.0055000000000000005,1.55,0.0,0.0,10.0,1,0,0,0.0,0.0,,,2.959605124955783e-07,1.692934514019202e-08,0.0,0.0,9.69558357356889e-07,0.3052529125759852
125.0,300.0,0.0055000000000000005,1.55,0.0,0.0,20.0,1,0,0,0.0,0.0,,,2.74191126802014e-07,1.532825504366117e-08,0.0,0.0,9.461878815668151e-07,0.2897850756109605
125.0,300.0,0.0055000000000000005,1.55,0.0,20.0,0.0,0,0,0,0.0,0.0,,,1.527390289211071,0.146039471613677,0.0,0.0,1.673430417493248,0.9127300862016474
125.0,300.0,0.0055000000000000005,1.55,0.0,20.0,10.0,0,0,0,0.0,0.0,,,1.52733989082854,0.146034652356015,0.0,0.0,1.673375199853055,0.912730086452017
125.0,300.0,0.0055000000000000005,1.55,0.0,20.0,20.0,0,0,0,0.0,0.0,,,1.527289493277549,0.1460298331778107,0.0,0.0,1.67331998312386,0.91273008670243
125.0,300.0,0.0055000000000000005,1.55,20.0,-20.0,0.0,0,0,0,0.0,0.0,,,1.525921397694634,0.1459572652914752,0.0,0.0,1.671879319654609,0.9126982909327881
125.0,300.0,0.0055000000000000005,1.55,20.0,-20.0,10.0,0,0,0,0.0,0.0,,,1.525971772667839,0.1459620832718657,0.0,0.0,1.671934512608205,0.9126982912071928
125.0,300.0,0.0055000000000000005,1.55,20.0,-20.0,20.0,0,0,0,0.0,0.0,,,1.526022148473957,0.1459669013322575,0.0,0.0,1.671989706474715,0.9126982914813987
125.0,300.0,0.0055000000000000005,1.55,20.0,0.0,0.0,0,0,0,0.0,0.0,,,9.001053509752948e-10,8.32080868660893e-10,0.0,0.0,6.584006859407225e-07,0.001367108768559718
125.0,300.0,0.0055000000000000005,1.55,20.0,0.0,10.0,0,0,0,0.0,0.0,,,9.238770266259779e-11,1.235613794544241e-09,0.0,0.0,6.579965012183219e-07,0.0001404075895411847
125.0,300.0,0.0055000000000000005,1.55,20.0,0.0,20.0,0,0,0,0.0,0.0,,,1.161663920591352e-10,1.718665043969323e-09,0.0,0.0,6.585033311571134e-07,0.00017640972575645
125.0,300.0,0.0055000000000000005,1.55,20.0,20.0,0.0,0,0,0,0.0,0.0,,,1.526069643798793,0.1459131871952092,0.0,0.0,1.671983487662502,0.9127300927668237
125.0,300.0,0.0055000000000000005,1.55,20.0,20.0,10.0,0,0,0,0.0,0.0,,,1.526019267209231,0.1459083700215759,0.0,0.0,1.671928293899307,0.9127300930174561
125.0,300.0,0.0055000000000000005,1.55,20.0,20.0,20.0,0,0,0,0.0,0.0,,,1.525968891451863,0.1459035529275937,0.0,0.0,1.671873101047956,0.9127300932680606
125.0,300.0,0.0055000000000000005,1.57,-20.0,-20.0,0.0,0,0,0,0.0,0.0,,,710025.9410315753,67901.77410556233,0.0,0.0,777927.7151371754,0.9127145456006454
125.0,300.0,0.0055000000000000005,1.57,-20.0,-20.0,10.0,0,0,0,0.0,0.0,,,710049.365512301,67904.01421823431,0.0,0.0,777953.379730573,0.9127145456430961
125.0,300.0,0.0055000000000000005,1.57,-20.0,-20.0,20.0,0,0,0,0.0,0.0,,,710072.790690253,67906.25448250414,0.0,0.0,777979.0451727948,0.912714545585917
125.0,300.0,0.0055000000000000005,1.57,-20.0,0.0,0.0,1,0,0,0.0,0.0,,,0.0003170391062000054,3.021888434926734e-05,0.0,0.0,0.0003472956457439524,0.9128795885732068
125.0,300.0,0.0055000000000000005,1.57,-20.0,0.0,10.0,1,0,0,0.0,0.0,,,1.525692324377878e-05,1.437090922720103e-06,0.0,0.0,1.673166936113646e-05,0.9118589971193699
125.0,300.0,0.0055000000000000005,1.57,-20.0,0.0,20.0,0,0,0,0.0,0.0,,,9.987143447176615e-05,9.607495566478383e-06,0.0,0.0,0.0001095165852329358,0.9119297708136629
125.0,300.0,0.0055000000000000005,1.57,-20.0,20.0,0.0,1,0,0,0.0,0.0,,,710085.9562827669,67907.50397560044,0.0,0.0,777993.4602584051,0.9127145568124915
125.0,300.0,0.0055000000000000005,1.57,-20.0,20.0,10.0,1,0,0,0.0,0.0,,,710062.5310927773,67905.26376539387,0.0,0.0,777967.7948582089,0.9127145568052623
125.0,300.0,0.0055000000000000005,1.57,-20.0,20.0,20.0,1,0,0,0.0,0.0,,,710039.1062818514,67903.023589959,0.0,0.0,777942.1298718482,0.912714556799768
125.0,300.0,0.0055000000000000005,1.57,0.0,-20.0,0.0,0,0,0,0.0,0.0,,,710026.8414123439,67901.86017075833,0.0,0.0,777928.70158314,0.9127145456484496
125.0,300.0,0.0055000000000000005,1.57,0.0,-20.0,10.0,0,0,0,0.0,0.0,,,710050.2660776722,67904.10033722752,0.0,0.0,777954.3664149374,0.9127145456484947
125.0,300.0,0.0055000000000000005,1.57,0.0,-20.0,20.0,0,0,0,0.0,0.0,,,710073.6910829988,67906.34054549398,0.0,0.0,777980.0316285305,0.91271454563765
125.0,300.0,0.0055000000000000005,1.57,0.0,0.0,0.0,1,0,0,0.0,0.0,,,0.0002982956590806831,2.84294131397711e-05,0.0,0.0,0.0003267627274150859,0.9128815316251135
125.0,300.0,0.0055000000000000005,1.57,0.0,0.0,10.0,1,0,0,0.0,0.0,,,1.136807154233295e-05,1.068206294975552e-06,0.0,0.0,1.247393303194021e-05,0.9113462059820561
125.0,300.0,0.0055000000000000005,1.57,0.0,0.0,20.0,0,0,0,0.0,0.0,,,0.000110837178097067,1.065919748727244e-05,0.0,0.0,0.0001215340307789829,0.9119847123200516
125.0,300.0,0.0055000000000000005,1.57,0.0,20.0,0.0,1,0,0,0.0,0.0,,,710085.0557208359,67907.41785233482,0.0,0.0,777992.4735732084,0.9127145568125056
125.0,300.0,0.0055000000000000005,1.57,0.0,20.0,10.0,1,0,0,0.0,0.0,,,710061.6305361786,67905.17764104223,0.0,0.0,777966.8081772586,0.9127145568071486
125.0,300.0,0.0055000000000000005,1.57,0.0,20.0,20.0,1,0,0,0.0,0.0,,,710038.2057400858,67902.937466988,0.0,0.0,777941.1432071115,0.912714556801699
125.0,300.0,0.0055000000000000005,1.57,20.0,-20.0,0.0,0,0,0,0.0,0.0,,,710027.7419855124,67901.94629513178,0.0,0.0,777929.688280682,0.9127145456484107
125.0,300.0,0.0055000000000000005,1.57,20.0,-20.0,10.0,0,0,0,0.0,0.0,,,710051.1666193303,67904.1864585514,0.0,0.0,777955.3530779195,0.9127145456484983
125.0,300.0,0.0055000000000000005,1.57,20.0,-20.0,20.0,0,0,0,0.0,0.0,,,710074.5916876999,67906.42666354039,0.0,0.0,777981.018351278,0.9127145456485718
125.0,300.0,0.0055000000000000005,1.57,20.0,0.0,0.0,1,0,0,0.0,0.0,,,0.0002801232806071355,2.66945548431362e-05,0.0,0.0,0.0003068554906449034,0.9128833902186788
125.0,300.0,0.0055000000000000005,1.57,20.0,0.0,10.0,1,0,0,0.0,0.0,,,8.050288398585292e-06,7.539345529022554e-07,0.0,0.0,8.841878146119249e-06,0.9104726694428164
125.0,300.0,0.0055000000000000005,1.57,20.0,0.0,20.0,0,0,0,0.0,0.0,,,0.0001223739903018629,1.176551229993911e-05,0.0,0.0,0.0001341771577964338,0.9120329593470899
125.0,300.0,0.0055000000000000005,1.57,20.0,20.0,0.0,1,0,0,0.0,0.0,,,710084.155157688,67907.33172896181,0.0,0.0,777991.4868866875,0.9127145568125091
125.0,300.0,0.0055000000000000005,1.57,20.0,20.0,10.0,1,0,0,0.0,0.0,,,710060.7299956195,67905.0915214344,0.0,0.0,777965.8215170916,0.9127145568052694
125.0,300.0,0.0055000000000000005,1.57,20.0,20.0,20.0,1,0,0,0.0,0.0,,,710037.3052144027,67902.85134884068,0.0,0.0,777940.1565632811,0.9127145567997751
125.0,300.0,0.0055000000000000005,1.59,-20.0,-20.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,-20.0,-20.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,-20.0,-20.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,-20.0,0.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,-20.0,0.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,-20.0,0.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,-20.0,20.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,-20.0,20.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,-20.0,20.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,0.0,-20.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,0.0,-20.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,0.0,-20.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,0.0,0.0,0.0,0,0,0,,,,,,,,,,
