m_phi,mA,alpha,beta,lambda6,lambda7,m12,sin_ba,tan_beta,positivity_ok,unitarity_ok,perturbativity_ok,width_h2_bb,width_h2_tautau,width_h2_WW,width_h2_ZZ,width_h2_gaga,total_width_h2,branching_ratio_h2_gaga
217.826,210.9042,-0.0005,-1.57189633,-10.0,-5.0,-10.0,-0.999999819998082,909.0878935851323,0.0,0.0,0.0,0.0,0.0,5.42694337e-07,2.14399435e-07,346010.8511303682,529720.0815152425,0.653195646539618
316.15164,269.0807462,-0.0002447,-1.571896334,-22.0,-13.53732934,10.56665,-0.999999634224815,909.0845878298701,0.0,0.0,0.0,0.0,0.0,5.050786337e-06,2.265953777e-06,3267194.855984305,5625176.735499901,0.580816392019362
125.0,402.2605,0.0001,1.5706918963,-29.71694,0.1,-39.8458,0.999999979104086,9575.746982289491,1.0,0.0,0.0,0.0,0.0,3.5288e-11,4.408e-12,18681.500413847338,20458.00592453965,0.913163310381029
294.10722,142.6437042,0.0002859,-1.571342013,-13.728671694,-13.53732934,6.253319999999999,-0.999999654232212,1832.554848170972,0.0,0.0,0.0,0.0,0.0,3.625593195e-06,1.602273682e-06,6099636373.2794,772375685226665.0,7.897240281e-06
269.396,241.3563,-0.0005,-1.57189633,-10.0,-5.0,-10.0,-0.999999819998082,909.0878935851323,0.0,0.0,0.0,0.0,0.0,1.336170221e-06,5.78179475e-07,405699.7756009718,670513.2089883912,0.605058588201498
279.71000000000004,241.3563,-0.0005,-1.57189633,-10.0,-5.0,-10.0,-0.999999819998082,909.0878935851323,0.0,0.0,0.0,0.0,0.0,1.551586223e-06,6.77783983e-07,470064.7025288515,785658.567172188,0.598306595472827
290.024,210.9042,-0.0005,-1.57189633,-10.0,-5.0,-10.0,-0.999999819998082,909.0878935851323,0.0,0.0,0.0,0.0,0.0,1.78791711e-06,7.87673745e-07,1113624.3333099196,1886812.4995234148,0.590214625772941
338.19606,231.1496336,-0.00051,-1.571896334,-22.0,-9.30599401,1.939989999999998,-0.999999825945754,909.0845878298701,0.0,0.0,0.0,0.0,0.0,3.086349398e-06,1.402083514e-06,4739928.644671911,8310090.545756101,0.570382310345891
323.49978,288.0463025,0.0002859,-1.571342013,-22.0,-17.76866467,-2.373340000000001,-0.999999654232212,1832.554848170972,0.0,0.0,0.0,0.0,0.0,5.202947697e-06,2.344563105e-06,72677294.10515612,125643489.22558673,0.578440590540013
301.45536,269.0807462,2.06e-05,-1.571342013,-17.864335847,-9.30599401,1.939989999999998,-0.999999839659971,1832.554848170972,0.0,0.0,0.0,0.0,0.0,1.84856816e-06,8.21320919e-07,21133861.11552988,35971477.61408262,0.587517180758126
