,m_phi,mA,sin_ba,tan_beta,lambda6,lambda7,m12,total_width_h2,branching_ratio_h2_gaga
11,125.00000749245798,225.19488039200874,1.1887040552396003e-08,66354.90508677172,0.0004046549417049462,1.840828081158199e-06,0.008269588710185896,5.689308630277513e-05,0.01692947007768694
12,125.0000056428878,126.58864953638374,4.197336325336639e-08,66354.90508677172,1.4859644616853693e-05,1.8460417662531323e-06,0.004904726893018673,5.743804860346025e-05,0.02465129511136833
13,125.0000154417833,119.77307461471744,3.529840888842874e-08,66354.90508677172,2.9785801334138612e-05,2.536678514278326e-06,0.008460916137734885,5.756631834115715e-05,0.02629418014236086
14,125.00001682793966,264.85255489569914,5.101397025104046e-09,66354.90508677172,0.029267018704709553,1.0764286877701706e-06,0.006957209351343016,5.683496055033111e-05,0.01610016141082106
15,125.00000010753082,409.93213739773483,7.0954703729616125e-09,66354.90508677172,0.0003557938921433879,3.2189122001069002e-06,0.009078339168286376,5.675728423916776e-05,0.01499356943129045
16,125.0000029286725,154.18808760326843,1.9711668888313526e-08,66354.90508677172,0.006640412370188787,3.1440249694402116e-06,0.007027268738279752,5.714975240723888e-05,0.02057828142363954
17,125.00000043506179,181.39734677071343,2.736099933742783e-08,66354.90508677172,0.008245526188491677,3.063843195445267e-06,0.006749697178529342,5.700855331924039e-05,0.01857353171460328
18,125.0000053780938,204.65953400573378,4.328630419446266e-08,66354.90508677172,2.115951738550269e-05,1.8994999946930593e-06,0.007446288345451977,5.693741011277379e-05,0.01756074736064432
19,125.0000173562167,145.33755791937404,4.314233061454092e-08,66354.90508677172,0.00040628847626011873,1.1167001995158446e-06,0.0072608037202542,5.722077126446017e-05,0.02158302733973959
20,125.00001672152584,116.23618450363412,7.001730814268957e-08,66354.90508677172,3.0015060996976882e-05,2.2134491274834706e-06,0.008437280854750335,5.776805505508038e-05,0.02725945506836975
21,125.00003224066056,133.43689503607743,7.398733389352672e-08,66354.90508677172,0.0066445496785292645,3.1699843950917116e-06,0.00938694923259202,5.734160724250511e-05,0.02328920675699924
22,125.00000070158495,168.07521643893912,3.447105910833357e-08,66354.90508677172,0.003927338460430241,2.439923018676867e-06,0.007113424218534298,5.706813689911926e-05,0.01942024809901226
23,125.0000460077998,164.63641317001913,3.361103946225864e-08,66354.90508677172,8.80002712247605e-05,8.066419668045441e-07,0.00853582363124845,5.70874028369866e-05,0.01968979837763025
24,125.00004497423944,113.51610009623039,7.126873354217222e-08,66354.90508677172,3.919545535577023e-05,2.2788582479744887e-06,0.008490010287669075,5.821525588030999e-05,0.02796009828899123
25,125.00001684714744,109.3297307594371,4.539489967721181e-08,66354.90508677172,5.2290562461508984e-06,4.849427023348597e-07,0.006367941347840945,6.017177859429208e-05,0.02861257463936656
26,125.00002859363988,111.0885058025661,2.1274835650111347e-08,66354.90508677172,0.0004235771178821385,1.1110354044618618e-06,0.007292895335891045,5.908416435775679e-05,0.02843266442422877
27,125.00000043506179,180.88507998574795,2.724085512132404e-08,66354.90508677172,0.007744163456080495,3.1367181825852185e-06,0.007261838412197024,5.701062407018257e-05,0.01860297966512879
28,125.00001694727526,264.85255489569914,5.864136618862808e-09,66354.90508677172,8.39781874800162e-05,2.4450042156623773e-06,0.006957209351343016,5.68373662242564e-05,0.01613446538387644
29,125.0000334051061,154.944457613723,7.433020352297112e-08,66354.90508677172,0.006640412370188787,3.142738355821729e-06,0.007027268738279752,5.714476573719116e-05,0.02050448394807019
30,125.00003122698499,109.3297307594371,4.4724872380026305e-08,66354.90508677172,1.025636712341933e-06,1.1618047215393835e-06,0.006367941347840945,6.017189071507242e-05,0.02861270167500441
31,125.00001822975904,110.05432545042957,1.2254907937262791e-08,66354.90508677172,2.0771065419792357e-05,1.2139222370328084e-06,0.00776222731415344,5.966597293243872e-05,0.02856218063902836
32,125.00001663479767,140.78797825499245,7.089548916050844e-08,66354.90508677172,3.788294848418907e-05,2.077510341349753e-06,0.008343515658097314,5.726324385281499e-05,0.02218381325947933
33,125.00003124585824,114.4241965522299,7.628700676493307e-08,66354.90508677172,0.006544044208316293,2.198878354232012e-06,0.007945697381215974,5.801572481423444e-05,0.02767735775070972
