lambda1,lambda2,lambda3,lambda4,lambda5,m12_squared,beta,tan_beta,positivity_ok,unitarity_ok,perturbativity_ok,width_h2_bb,width_h2_tautau,width_h2_WW,width_h2_ZZ,width_hgaga,total_width_h2,branching_ratio_hgaga
0.000000,0.000000,9.734518,29.734518,-10.265482,0.020000,0.100000,0.100335,true,false,false,0.000000,0.000000,11.396911,5.344200,0.000108,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.040000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.379976,0.092367,0.000048,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.040000,0.040000,0.040021,true,false,false,0.000000,0.000000,1.903636,0.820926,0.000073,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.040000,0.060000,0.060072,true,false,false,0.000000,0.000000,4.311617,1.945201,0.000088,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.040000,0.080000,0.080171,true,false,false,0.000000,0.000000,7.497004,3.463811,0.000098,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.040000,0.100000,0.100335,true,false,false,0.000000,0.000000,11.396915,5.344202,0.000108,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.060000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.379986,0.092377,0.000048,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.060000,0.040000,0.040021,true,false,false,0.000000,0.000000,1.903642,0.820929,0.000073,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.060000,0.060000,0.060072,true,false,false,0.000000,0.000000,4.311622,1.945203,0.000088,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.060000,0.080000,0.080171,true,false,false,0.000000,0.000000,7.497008,3.463813,0.000098,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.060000,0.100000,0.100335,true,false,false,0.000000,0.000000,11.396919,5.344204,0.000108,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.080000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.379995,0.092387,0.000048,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.080000,0.040000,0.040021,true,false,false,0.000000,0.000000,1.903648,0.820932,0.000073,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.080000,0.060000,0.060072,true,false,false,0.000000,0.000000,4.311627,1.945206,0.000088,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.080000,0.080000,0.080171,true,false,false,0.000000,0.000000,7.497013,3.463815,0.000098,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.080000,0.100000,0.100335,true,false,false,0.000000,0.000000,11.396923,5.344206,0.000108,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.100000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.380004,0.092397,0.000048,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.100000,0.040000,0.040021,true,false,false,0.000000,0.000000,1.903655,0.820935,0.000073,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.100000,0.060000,0.060072,true,false,false,0.000000,0.000000,4.311632,1.945208,0.000088,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.100000,0.080000,0.080171,true,false,false,0.000000,0.000000,7.497017,3.463817,0.000098,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.100000,0.100000,0.100335,true,false,false,0.000000,0.000000,11.396926,5.344208,0.000108,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.000000,0.020000,0.020003,true,false,false,0.000000,0.000000,1.289886,0.541730,0.000066,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.000000,0.040000,0.040021,true,false,false,0.000000,0.000000,5.161789,2.353293,0.000089,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.000000,0.060000,0.060072,true,false,false,0.000000,0.000000,10.926657,5.128365,0.000102,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.000000,0.080000,0.080171,true,false,false,0.000000,0.000000,18.338748,8.737818,0.000113,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.000000,0.100000,0.100335,true,false,false,0.000000,0.000000,27.281742,13.118605,0.000124,-nan,0.000000
