m_phi,mA,alpha,beta,lambda6,lambda7,m12,sin_ba,tan_beta,positivity_ok,unitarity_ok,perturbativity_ok,width_h2_bb,width_h2_tautau,width_h2_WW,width_h2_ZZ,width_h2_gaga,total_width_h2,branching_ratio_h2_gaga
125.0,230.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,534328387.7478184,585897261.0961169,0.911983078309972
125.0,330.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,120867887.8272151,132401181.1568713,0.912891310871379
150.0,330.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,212525993.13502264,262094426.9104257,0.810875666607197
125.0,255.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,348208926.2474215,381675187.9176768,0.912317429244383
150.0,230.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,958304753.3358845,1184413528.1325407,0.809096426690464
125.0,280.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,236818258.76030952,259509070.7944039,0.912562547564778
150.0,155.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,5435272841.34876,6756154358.142996,0.804492105009085
150.0,305.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,294125428.17491525,362850956.30648696,0.810595708962327
125.0,205.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,865273494.2505741,949275632.851128,0.911509222723588
150.0,205.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,1568294754.7913685,1940572729.9471407,0.808160771605859
125.0,180.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,1503139678.9939988,1650344949.943602,0.910803331779436
150.0,180.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,2768352786.4192786,3431457985.265058,0.806757010666252
150.0,380.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,119190702.52797452,146917840.81246167,0.811274531866553
125.0,305.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,166758847.54233465,182699808.6686228,0.912747795181321
125.0,380.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,68084436.58039549,74564365.7352794,0.913096167438892
150.0,355.0,0.0001,-1.57089633,-5.0,-5.0,-2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,157463607.509171,194136646.39476424,0.811096773501377
125.0,255.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,348227306.2742432,381695334.1852415,0.912317429862122
150.0,180.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,2768498919.3180995,3431639127.1865764,0.806757009321038
150.0,330.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,212537212.7484236,262108263.76124728,0.810875665263352
125.0,155.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,2874821425.26906,3160263943.454756,0.909677633484736
125.0,355.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,89775905.9965014,98330156.00899588,0.913004816022952
150.0,255.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,619964849.5671172,765621667.5974542,0.809753532070986
125.0,205.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,865319168.2954715,949325740.3594884,0.911509223343922
150.0,205.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,1568377542.8357852,1940675173.2478073,0.80816077025968
125.0,130.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,6332424293.921265,6976390832.359131,0.907693454407556
125.0,330.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,120874267.674619,132408169.68455935,0.912891311484647
150.0,380.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,119196994.86328793,146925597.16607872,0.811274530526852
125.0,305.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,166767649.7135595,182709452.14133412,0.912747795798529
150.0,130.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,12572097305.352467,15707034973.92696,0.800411874438533
150.0,305.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,294140955.46264935,362870112.31061167,0.810595707620221
125.0,180.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,1503219024.780522,1650432065.0806384,0.910803332403189
125.0,380.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,68088030.30373907,74568301.4407846,0.913096168052164
150.0,280.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,419394983.06399375,517622245.12194496,0.810233692652042
125.0,230.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,534356592.2646624,585928187.2780212,0.911983078928257
150.0,155.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,5435559738.608321,6756510988.496868,0.804492103670445
150.0,355.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,157471920.3213374,194146895.5692998,0.811096772160998
125.0,280.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,236830759.00663912,259522768.5807088,0.912562548179611
150.0,230.0,0.0001,-1.57089633,-5.0,-5.0,2.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,958355341.9212661,1184476054.8937726,0.809096425344972
125.0,155.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,2874973165.537864,3160430750.0803967,0.909677633488641
150.0,180.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,2768645050.055721,3431820252.475687,0.806757011256182
150.0,355.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,157480231.0889531,194157141.44135687,0.811096774086563
125.0,230.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,534384797.527184,585959114.6743164,0.911983078928983
125.0,380.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,68091624.27103764,74572237.46353735,0.91309616805224
150.0,280.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,419417117.72308,517649562.7453076,0.810233694584304
125.0,280.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,236843259.85123417,259536467.1973508,0.912562548179941
150.0,130.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,12572761037.579975,15707864175.282196,0.800411876323988
150.0,380.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,119203285.59079972,146933350.9466924,0.81127453245143
125.0,305.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,166776452.37150383,182719096.2707904,0.912747795798752
150.0,205.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,1568460323.4467423,1940777599.4738204,0.808160772193568
125.0,180.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,1503298369.265387,1650519179.915122,0.910803332405198
150.0,155.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,5435846666.35059,6756867629.3262415,0.804492105596069
150.0,330.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,212548429.72595635,262122096.30337924,0.810875667192717
125.0,255.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,348245687.02168286,381715481.500926,0.912317429862582
125.0,355.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,89780644.73579456,98335346.27656397,0.913004816023023
150.0,305.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,294156479.3405308,362889262.643025,0.810595709550914
125.0,130.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,6332758529.194224,6976759057.127564,0.907693454416285
125.0,330.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,120880647.90556084,132415158.72130474,0.912891311484808
150.0,255.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,619997570.3285152,765662074.0685694,0.809753534002248
125.0,205.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,865364842.7578028,949375848.9706393,0.911509223345079
150.0,230.0,0.0001,-1.57089633,-5.0,-5.0,6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,958405923.4328288,1184538568.112716,0.809096427277858
