Unnamed: 0,m_phi,mA,alpha,beta,lambda6,lambda7,m12,positivity_ok,unitarity_ok,perturbativity_ok,w_h2_bb,w_h2_tautau,w_h2_WW,w_h2_ZZ,w_h2_gaga,w_h2_Zga,w_h2_gg,w_h2_hh,w_total_h2,branching_ratio_h2_gaga
43,125,320.0,-0.7,0.674533,-0.5727,-0.5727,-0.565727,1,1,1,0.0,0.0,5.107846194011128e-07,4.01097955273101e-06,5.107846194011128e-07,2.537859221908022e-07,0.0,0.0,3.688484237699315e-05,0.0138480900685565
44,125,320.0,-0.7,0.674533,-0.5727,-0.5727,-0.131454,1,1,1,0.0,0.0,5.107845680787129e-07,4.01097955273101e-06,5.107845680787129e-07,2.537859110121767e-07,0.0,0.0,3.688484231449213e-05,0.0138480887005995
45,125,320.0,-0.7,0.674533,-0.5727,-0.5727,0.302819,1,1,1,0.0,0.0,5.107845167563156e-07,4.010979552731017e-06,5.107845167563156e-07,2.53785899833552e-07,0.0,0.0,3.688484225199115e-05,0.0138480873326425
46,125,320.0,-0.7,0.674533,-0.5727,-0.5727,0.737092,1,1,1,0.0,0.0,5.107844654339211e-07,4.010979552731025e-06,5.107844654339211e-07,2.537858886549269e-07,0.0,0.0,3.68848421894902e-05,0.0138480859646855
47,125,320.0,-0.7,0.674533,-0.5727,-0.5727,1.171365,1,1,1,0.0,0.0,5.107844141115286e-07,4.010979552730988e-06,5.107844141115286e-07,2.537858774763011e-07,0.0,0.0,3.688484212698889e-05,0.0138480845967288
48,125,320.0,-0.7,0.674533,-0.5727,-0.1454,-1.0,1,1,1,0.0,0.0,4.880472750355639e-07,4.010979552730994e-06,4.880472750355639e-07,2.488017979617211e-07,0.0,0.0,3.68571209083984e-05,0.0132416006190097
49,125,320.0,-0.7,0.674533,-0.5727,-0.1454,-0.565727,1,1,1,0.0,0.0,4.880472248684646e-07,4.01097955273101e-06,4.880472248684646e-07,2.488017868934099e-07,0.0,0.0,3.685712084716311e-05,0.0132415992798859
50,125,320.0,-0.7,0.674533,-0.5727,-0.1454,-0.131454,1,1,1,0.0,0.0,4.880471747013678e-07,4.010979552730994e-06,4.880471747013678e-07,2.488017758250984e-07,0.0,0.0,3.685712078592757e-05,0.0132415979407623
51,125,320.0,-0.7,0.674533,-0.5727,-0.1454,0.302819,1,1,1,0.0,0.0,4.880471245342717e-07,4.010979552731003e-06,4.880471245342717e-07,2.488017647567844e-07,0.0,0.0,3.685712072469223e-05,0.0132415966016387
52,125,320.0,-0.7,0.674533,-0.5727,-0.1454,0.737092,1,1,1,0.0,0.0,4.880470743671818e-07,4.01097955273103e-06,4.880470743671818e-07,2.48801753688477e-07,0.0,0.0,3.685712066345706e-05,0.0132415952625151
53,125,320.0,-0.7,0.674533,-0.5727,-0.1454,1.171365,1,1,1,0.0,0.0,4.880470242000893e-07,4.010979552730988e-06,4.880470242000893e-07,2.488017426201608e-07,0.0,0.0,3.685712060222131e-05,0.0132415939233917
54,125,320.0,-0.7,0.674533,-0.1454,-1.0,-1.0,1,1,1,0.0,0.0,5.714445025154132e-07,4.010979552730988e-06,5.714445025154132e-07,2.66790239406271e-07,0.0,0.0,3.695850657732274e-05,0.015461785538327
55,125,320.0,-0.7,0.674533,-0.1454,-1.0,-0.565727,1,1,1,0.0,0.0,5.714444482310087e-07,4.010979552731003e-06,5.714444482310087e-07,2.667902279448207e-07,0.0,0.0,3.6958506511577e-05,0.0154617840970388
56,125,320.0,-0.7,0.674533,-0.1454,-1.0,-0.131454,1,1,1,0.0,0.0,5.714443939466065e-07,4.010979552731003e-06,5.714443939466065e-07,2.667902164833697e-07,0.0,0.0,3.695850644583114e-05,0.0154617826557508
57,125,320.0,-0.7,0.674533,-0.1454,-1.0,0.302819,1,1,1,0.0,0.0,5.714443396622063e-07,4.010979552730994e-06,5.714443396622063e-07,2.667902050219189e-07,0.0,0.0,3.695850638008524e-05,0.0154617812144628
58,125,320.0,-0.7,0.674533,-0.1454,-1.0,0.737092,1,1,1,0.0,0.0,5.714442853778101e-07,4.010979552731017e-06,5.714442853778101e-07,2.667901935604696e-07,0.0,0.0,3.695850631433956e-05,0.0154617797731748
59,125,320.0,-0.7,0.674533,-0.1454,-1.0,1.171365,1,1,1,0.0,0.0,5.71444231093416e-07,4.01097955273103e-06,5.71444231093416e-07,2.667901820990198e-07,0.0,0.0,3.695850624859383e-05,0.0154617783318869
60,125,320.0,-0.7,0.674533,-0.1454,-0.5727,-1.0,1,1,1,0.0,0.0,5.473799110795525e-07,4.010979552731025e-06,5.473799110795525e-07,2.616793772906052e-07,0.0,0.0,3.692933112377151e-05,0.0148223619118625
61,125,320.0,-0.7,0.674533,-0.1454,-0.5727,-0.565727,1,1,1,0.0,0.0,5.473798579504491e-07,4.010979552731003e-06,5.473798579504491e-07,2.616793659394659e-07,0.0,0.0,3.692933105929108e-05,0.0148223604990736
62,125,320.0,-0.7,0.674533,-0.1454,-0.5727,-0.131454,1,1,1,0.0,0.0,5.473798048213492e-07,4.010979552731003e-06,5.473798048213492e-07,2.616793545883284e-07,0.0,0.0,3.692933099481085e-05,0.0148223590862846
63,125,320.0,-0.7,0.674533,-0.1454,-0.5727,0.302819,1,1,1,0.0,0.0,5.473797516922519e-07,4.010979552730988e-06,5.473797516922519e-07,2.616793432371912e-07,0.0,0.0,3.692933093033051e-05,0.0148223576734958
64,125,320.0,-0.7,0.674533,-0.1454,-0.5727,0.737092,1,1,1,0.0,0.0,5.47379698563158e-07,4.010979552731017e-06,5.47379698563158e-07,2.616793318860559e-07,0.0,0.0,3.69293308658505e-05,0.0148223562607069
65,125,320.0,-0.7,0.674533,-0.1454,-0.5727,1.171365,1,1,1,0.0,0.0,5.473796454340644e-07,4.01097955273098e-06,5.473796454340644e-07,2.616793205349173e-07,0.0,0.0,3.692933080136999e-05,0.0148223548479182
66,125,320.0,-0.7,0.674533,-0.1454,-0.1454,-1.0,1,1,1,0.0,0.0,5.238329804554462e-07,4.010979552731003e-06,5.238329804554462e-07,2.566179437920917e-07,0.0,0.0,3.69007227596487e-05,0.0141957376788365
67,125,320.0,-0.7,0.674533,-0.1454,-0.1454,-0.565727,1,1,1,0.0,0.0,5.238329284816455e-07,4.01097955273098e-06,5.238329284816455e-07,2.566179325512681e-07,0.0,0.0,3.690072269643392e-05,0.0141957362946788
68,125,320.0,-0.7,0.674533,-0.1454,-0.1454,-0.131454,1,1,1,0.0,0.0,5.238328765078481e-07,4.01097955273098e-06,5.238328765078481e-07,2.566179213104442e-07,0.0,0.0,3.69007226332193e-05,0.0141957349105211
69,125,320.0,-0.7,0.674533,-0.1454,-0.1454,0.302819,1,1,1,0.0,0.0,5.238328245340526e-07,4.01097955273098e-06,5.238328245340526e-07,2.566179100696196e-07,0.0,0.0,3.690072257000468e-05,0.0141957335263634
70,125,320.0,-0.7,0.674533,-0.1454,-0.1454,0.737092,1,1,1,0.0,0.0,5.238327725602615e-07,4.01097955273101e-06,5.238327725602615e-07,2.56617898828798e-07,0.0,0.0,3.690072250679029e-05,0.0141957321422058
71,125,320.0,-0.7,0.674533,-0.1454,-0.1454,1.171365,1,1,1,0.0,0.0,5.238327205864707e-07,4.01097955273098e-06,5.238327205864707e-07,2.56617887587973e-07,0.0,0.0,3.690072244357544e-05,0.0141957307580484
72,125,320.0,-0.7,0.849066,-1.0,-0.5727,-1.0,1,1,1,0.0,0.0,4.41891404599247e-09,4.979889509194355e-08,4.41891404599247e-09,2.7109204956254542e-09,0.0,0.0,4.555862787034666e-07,0.0096994010850547
73,125,320.0,-0.7,0.849066,-1.0,-0.5727,-0.565727,1,1,1,0.0,0.0,4.418940974762399e-09,4.979889509194364e-08,4.418940974762399e-09,2.7109270131596322e-09,0.0,0.0,4.555863121497713e-07,0.0096994594809286
74,125,320.0,-0.7,0.849066,-1.0,-0.5727,-0.131454,1,1,1,0.0,0.0,4.418967903614388e-09,4.97988950919439e-08,4.418967903614388e-09,2.710933530701633e-09,0.0,0.0,4.555863455961675e-07,0.009699517876972
75,125,320.0,-0.7,0.849066,-1.0,-0.5727,0.302819,1,1,1,0.0,0.0,4.4189948325484674e-09,4.979889509194425e-08,4.4189948325484674e-09,2.710940048251305e-09,0.0,0.0,4.555863790426542e-07,0.0096995762731851
76,125,320.0,-0.7,0.849066,-1.0,-0.5727,0.737092,1,1,1,0.0,0.0,4.419021761564506e-09,4.979889509194417e-08,4.419021761564506e-09,2.710946565809058e-09,0.0,0.0,4.555864124892271e-07,0.0096996346695677
77,125,320.0,-0.7,0.849066,-1.0,-0.5727,1.171365,1,1,1,0.0,0.0,4.419048690662636e-09,4.9798895091944074e-08,4.419048690662636e-09,2.710953083374452e-09,0.0,0.0,4.555864459358899e-07,0.00969969306612
78,125,320.0,-0.7,0.849066,-1.0,-0.1454,-1.0,1,1,1,0.0,0.0,1.8973917265750312e-09,4.9798895091943836e-08,1.8973917265750312e-09,2.0236835185428272e-09,0.0,0.0,4.523775194069687e-07,0.0041942661718963
79,125,320.0,-0.7,0.849066,-1.0,-0.1454,-0.565727,1,1,1,0.0,0.0,1.897409372222072e-09,4.979889509194345e-08,1.897409372222072e-09,2.023689149681968e-09,0.0,0.0,4.52377542683752e-07,0.0041943049625443
